"","GEOID","STATEFP","ELSDLEA","SCSDLEA","UNSDLEA","NAME","LSAD","LOGRADE","HIGRADE","MTFCC","SDTYP","FUNCSTAT","ALAND","AWATER","INTPTLAT","INTPTLON","GEO_YEAR","SCHOOLYEAR","total","American.Indian.or.Alaska.Native","Asian","Black.or.African.American","Hispanic.Latino","Native.Hawaiian.or.Other.Pacific.Islander","White","minority","percentW","percentM","student_all","textbk_exp","STABBR","textbk_exp_per_student"
"86","4105760","41",NA,NA,"05760","Central Curry School District 1","00","KG","12","G5420",NA,"E",2028906940,368611908,"+42.5303375","-124.1796764","2019","2018-2019",282,8,0,0,28,0,246,36,87.23,12.77,474,21000,"OR",44
"87","4105910","41",NA,NA,"05910","Grants Pass School District 7","00","KG","12","G5420",NA,"E",62885739,458505,"+42.4293338","-123.3443389","2019","2018-2019",4414,40,40,20,652,4,3658,756,82.87,17.13,6119,486000,"OR",79
"88","4106000","41",NA,NA,"06000","Gresham-Barlow School District 1J","00","KG","12","G5420",NA,"E",129084034,725277,"+45.4655943","-122.3908811","2019","2018-2019",7601,97,246,243,2468,62,4485,3116,59.01,40.99,12027,174000,"OR",14
"89","4106120","41",NA,NA,"06120","Harper School District 66","00","KG","12","G5420",NA,"E",3038276985,448758,"+43.7959757","-117.7611438","2019","2018-2019",40,0,1,0,7,0,32,8,80,20,109,7000,"OR",64
"90","4106270","41",NA,NA,"06270","Helix School District 1","00","KG","12","G5420",NA,"E",578342290,5869,"+45.9095477","-118.7904971","2019","2018-2019",49,0,0,0,2,0,47,2,95.92,4.08,184,5000,"OR",27
"91","4106300","41",NA,NA,"06300","Hermiston School District 8","00","KG","12","G5420",NA,"E",398054330,28263505,"+45.8608244","-119.2169919","2019","2018-2019",4162,8,48,26,2044,20,2016,2146,48.44,51.56,5710,61000,"OR",11
"92","4106510","41",NA,NA,"06510","Hood River County School District 1","00","KG","12","G5420",NA,"E",1352203435,29040409,"+45.5117753","-121.6559762","2019","2018-2019",2632,6,38,20,1160,4,1404,1228,53.34,46.66,4082,229000,"OR",56
"93","4106600","41",NA,NA,"06600","Huntington School District 16J","00","KG","12","G5420",NA,"E",853181783,16706326,"+44.4549121","-117.3293124","2019","2018-2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","4106630","41",NA,NA,"06630","Imbler School District 11","00","KG","12","G5420",NA,"E",308592388,0,"+45.4985087","-117.9862505","2019","2018-2019",90,4,0,0,0,0,86,4,95.56,4.44,310,42000,"OR",135
"95","4106710","41",NA,NA,"06710","Jefferson School District 14J","00","KG","12","G5420",NA,"E",144293079,3777958,"+44.7493954","-123.0275932","2019","2018-2019",506,2,6,0,128,4,366,140,72.33,27.67,860,16000,"OR",19
"96","4106740","41",NA,NA,"06740","Jefferson County School District 509J","00","KG","12","G5420",NA,"E",3796788047,15366593,"+44.8022764","-121.2606462","2019","2018-2019",1520,582,8,18,524,4,384,1136,25.26,74.74,2990,334000,"OR",112
"97","4106750","41",NA,NA,"06750","Jewell School District 8","00","KG","12","G5420",NA,"E",693512027,302443,"+45.9030945","-123.5574721","2019","2018-2019",48,0,0,0,6,0,42,6,87.5,12.5,153,5000,"OR",33
"98","4106780","41",NA,NA,"06780","John Day School District 3","00","KG","12","G5420",NA,"E",3781862032,530236,"+44.2137154","-119.1141867","2019","2018-2019",528,10,6,4,12,4,492,36,93.18,6.82,615,4000,"OR",7
"99","4106820","41",NA,NA,"06820","Jordan Valley School District 3","00","KG","12","G5420",NA,"E",3797491610,48730177,"+43.0672871","-117.2747209","2019","2018-2019",76,0,0,0,4,0,72,4,94.74,5.26,58,7000,"OR",121
