"","GEOID","STATEFP","ELSDLEA","SCSDLEA","UNSDLEA","NAME","LSAD","LOGRADE","HIGRADE","MTFCC","SDTYP","FUNCSTAT","ALAND","AWATER","INTPTLAT","INTPTLON","GEO_YEAR","SCHOOLYEAR","total","American.Indian.or.Alaska.Native","Asian","Black.or.African.American","Hispanic.Latino","Native.Hawaiian.or.Other.Pacific.Islander","White","minority","percentW","percentM","student_all","textbk_exp","STABBR","textbk_exp_per_student"
"157","4110410","41",NA,NA,"10410","Reedsport School District 105","00","KG","12","G5420",NA,"E",1194427650,183674996,"+43.7389235","-123.9078868","2019","2018-2019",886,26,9,0,82,4,765,121,86.34,13.66,688,65000,"OR",94
"158","4110520","41",NA,NA,"10520","Reynolds School District 7","00","KG","12","G5420",NA,"E",65190858,20471723,"+45.5520968","-122.4412559","2019","2018-2019",4978,35,469,386,2280,107,1701,3277,34.17,65.83,11352,566000,"OR",50
"159","4110530","41",NA,NA,"10530","Riddle School District 70","00","KG","12","G5420",NA,"E",360307235,240125,"+42.8916338","-123.5119292","2019","2018-2019",298,6,0,0,30,0,262,36,87.92,12.08,393,2000,"OR",5
"160","4110560","41",NA,NA,"10560","Riverdale School District 51J","00","KG","12","G5420",NA,"E",4407531,511705,"+45.4454998","-122.6613922","2019","2018-2019",448,4,10,2,22,0,410,38,91.52,8.48,635,7000,"OR",11
"161","4110680","41",NA,NA,"10680","Rogue River School District 35","00","KG","12","G5420",NA,"E",653520480,731200,"+42.5854261","-123.1092812","2019","2018-2019",765,9,5,4,73,0,674,91,88.1,11.9,961,32000,"OR",33
"162","4110710","41",NA,NA,"10710","Roseburg School District 4","00","KG","12","G5420",NA,"E",856406484,8384775,"+43.2820696","-123.4698347","2019","2018-2019",3028,38,54,24,364,13,2535,493,83.72,16.28,6061,132000,"OR",22
"163","4110820","41",NA,NA,"10820","Salem-Keizer School District 24J","00","KG","12","G5420",NA,"E",439215495,6168721,"+44.9449465","-123.0280604","2019","2018-2019",24102,234,598,374,9684,636,12576,11526,52.18,47.82,41945,1617000,"OR",39
"164","4110890","41",NA,NA,"10890","Oregon Trail School District 46","00","KG","12","G5420",NA,"E",1103098952,5930682,"+45.3239840","-121.9904531","2019","2018-2019",2666,46,35,31,398,16,2140,526,80.27,19.73,4431,43000,"OR",10
"165","4110980","41",NA,NA,"10980","Scappoose School District 1J","00","KG","12","G5420",NA,"E",340374735,34462764,"+45.7750291","-122.9178778","2019","2018-2019",1400,34,30,16,128,10,1182,218,84.43,15.57,2399,11000,"OR",5
"166","4111040","41",NA,NA,"11040","Scio School District 95","00","KG","12","G5420",NA,"E",278252876,389320,"+44.6836948","-122.7558049","2019","2018-2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167","4111100","41",NA,NA,"11100","Seaside School District 10","00","KG","12","G5420",NA,"E",513077069,244594586,"+45.9094109","-123.8912039","2019","2018-2019",918,8,12,2,222,6,668,250,72.77,27.23,1595,167000,"OR",105
"168","4111220","41",NA,NA,"11220","Sheridan School District 48J","00","KG","12","G5420",NA,"E",163111051,163105,"+45.1438782","-123.4000475","2019","2018-2019",563,13,2,5,107,1,435,128,77.26,22.74,993,149000,"OR",150
"169","4111250","41",NA,NA,"11250","Sherman School District 1","00","KG","12","G5420",NA,"E",2157662766,19617472,"+45.3992158","-120.6785124","2019","2018-2019",76,2,0,0,12,0,62,14,81.58,18.42,251,39000,"OR",155
"170","4111290","41",NA,NA,"11290","Sherwood School District 88J","00","KG","12","G5420",NA,"E",98083973,16246,"+45.3539900","-122.8452815","2019","2018-2019",3164,24,96,12,358,20,2654,510,83.88,16.12,5338,30000,"OR",6
"171","4111400","41",NA,NA,"11400","North Lake School District 14","00","KG","12","G5420",NA,"E",7953731775,11902992,"+43.2978269","-120.6056860","2019","2018-2019",74,0,1,1,10,0,62,12,83.78,16.22,212,20000,"OR",94
"172","4111450","41",NA,NA,"11450","Silver Falls School District 4J","00","KG","12","G5420",NA,"E",671058931,794160,"+44.9584168","-122.6897009","2019","2018-2019",2608,24,34,24,424,8,2094,514,80.29,19.71,3938,73000,"OR",19
"173","4111490","41",NA,NA,"11490","Sisters School District 6","00","KG","12","G5420",NA,"E",702917368,482078,"+44.3085420","-121.6091702","2019","2018-2019",896,28,14,2,40,10,802,94,89.51,10.49,1044,148000,"OR",142
"174","4111580","41",NA,NA,"11580","South Lane School District 45J","00","KG","12","G5420",NA,"E",1742451406,12009512,"+43.6614615","-122.8421870","2019","2018-2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175","4111610","41",NA,NA,"11610","South Umpqua School District 19","00","KG","12","G5420",NA,"E",644783494,50423,"+42.9746000","-123.2853590","2019","2018-2019",726,26,6,2,58,0,634,92,87.33,12.67,1522,146000,"OR",96
"176","4111640","41",NA,NA,"11640","Spray School District 1","00","KG","12","G5420",NA,"E",1155404725,0,"+44.7807752","-119.8181365","2019","2018-2019",25,0,7,0,4,0,14,11,56,44,51,9000,"OR",176
"177","4111670","41",NA,NA,"11670","Springfield School District 19","00","KG","12","G5420",NA,"E",469496530,5053934,"+44.0891223","-122.8422781","2019","2018-2019",5526,98,64,57,1317,37,3953,1573,71.53,28.47,10854,809000,"OR",75
"178","4111720","41",NA,NA,"11720","St. Helens School District 502","00","KG","12","G5420",NA,"E",260532741,14023811,"+45.9118983","-122.9043443","2019","2018-2019",1647,19,22,12,187,2,1405,242,85.31,14.69,3012,29000,"OR",10
"179","4111760","41",NA,NA,"11760","St. Paul School District 45","00","KG","12","G5420",NA,"E",107975550,3095674,"+45.2195094","-122.9484929","2019","2018-2019",256,2,0,0,82,0,172,84,67.19,32.81,216,47000,"OR",218
"180","4111790","41",NA,NA,"11790","Stanfield School District 61","00","KG","12","G5420",NA,"E",156165539,139424,"+45.8104259","-119.1586160","2019","2018-2019",131,0,0,1,59,1,70,61,53.44,46.56,471,55000,"OR",117
"182","4111940","41",NA,NA,"11940","Sutherlin School District 130","00","KG","12","G5420",NA,"E",349055798,1402763,"+43.4375821","-123.1140728","2019","2018-2019",751,37,12,2,94,0,606,145,80.69,19.31,1308,2000,"OR",2
"183","4111970","41",NA,NA,"11970","Sweet Home School District 55","00","KG","12","G5420",NA,"E",2636342748,26434073,"+44.3711535","-122.2897426","2019","2018-2019",2056,32,16,6,124,6,1872,184,91.05,8.95,2309,38000,"OR",16
"184","4112240","41",NA,NA,"12240","Tigard-Tualatin School District 23J","00","KG","12","G5420",NA,"E",62246624,10496,"+45.4051652","-122.7863608","2019","2018-2019",7274,34,521,148,1936,163,4472,2802,61.48,38.52,12894,473000,"OR",37
"185","4112320","41",NA,NA,"12320","Tillamook School District 9","00","KG","12","G5420",NA,"E",876500061,200642836,"+45.4567272","-123.7526299","2019","2018-2019",1988,24,16,12,590,20,1326,662,66.7,33.3,2164,42000,"OR",19
"186","4112360","41",NA,NA,"12360","Troy School District 54","00","KG","12","G5420",NA,"E",190064216,0,"+45.9468773","-117.5259356","2019","2018-2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187","4112540","41",NA,NA,"12540","Ukiah School District 80","00","KG","12","G5420",NA,"E",1247552105,19696,"+45.1056562","-118.8551207","2019","2018-2019",19,1,8,0,1,0,9,10,47.37,52.63,31,4000,"OR",129
"188","4112600","41",NA,NA,"12600","Umatilla School District 6","00","KG","12","G5420",NA,"E",58437500,8270380,"+45.8987053","-119.3466404","2019","2018-2019",776,2,4,8,508,0,254,522,32.73,67.27,1348,68000,"OR",50
"189","4112690","41",NA,NA,"12690","Union School District 5","00","KG","12","G5420",NA,"E",886608084,2462782,"+45.1286446","-117.6518423","2019","2018-2019",348,10,0,2,4,0,332,16,95.4,4.6,332,12000,"OR",36
"190","4112930","41",NA,NA,"12930","Vernonia School District 47J","00","KG","12","G5420",NA,"E",675308338,232604,"+45.8986794","-123.2221692","2019","2018-2019",332,8,4,2,20,2,296,36,89.16,10.84,544,8000,"OR",15
"191","4112990","41",NA,NA,"12990","Wallowa School District 12","00","KG","12","G5420",NA,"E",2369734728,1077064,"+45.6369759","-117.5708304","2019","2018-2019",184,0,0,0,6,2,176,8,95.65,4.35,173,23000,"OR",133
"192","4113080","41",NA,NA,"13080","Warrenton-Hammond School District 30","00","KG","12","G5420",NA,"E",154003432,200552188,"+46.1608804","-123.8765080","2019","2018-2019",544,4,12,0,76,4,448,96,82.35,17.65,999,58000,"OR",58
"193","4113170","41",NA,NA,"13170","West Linn School District 3J","00","KG","12","G5420",NA,"E",107416735,4622972,"+45.3362910","-122.7083109","2019","2018-2019",5888,22,312,50,710,30,4764,1124,80.91,19.09,9890,69000,"OR",7
"194","4113350","41",NA,NA,"13350","Willamina School District 30J","00","KG","12","G5420",NA,"E",672845783,223451,"+45.1139191","-123.5875097","2019","2018-2019",508,124,2,4,74,6,298,210,58.66,41.34,889,61000,"OR",69
"195","4113490","41",NA,NA,"13490","Winston-Dillard School District 116","00","KG","12","G5420",NA,"E",626949378,25846,"+43.0919576","-123.5423966","2019","2018-2019",790,8,6,2,82,6,686,104,86.84,13.16,1393,131000,"OR",94
"196","4113530","41",NA,NA,"13530","Woodburn School District 103","00","KG","12","G5420",NA,"E",80684043,197914,"+45.1442901","-122.8577301","2019","2018-2019",1517,5,5,3,1274,5,225,1292,14.83,85.17,5648,528000,"OR",93
"197","4113650","41",NA,NA,"13650","Yoncalla School District 32","00","KG","12","G5420",NA,"E",411939551,244130,"+43.5865635","-123.2701894","2019","2018-2019",180,4,4,0,28,0,144,36,80,20,236,3000,"OR",13
"198","4199997","41",NA,NA,"99997","School District Not Defined","00","PK","12","G5420",NA,"F",1034,44132641,"+41.9930425","-120.3285814","2019","2018-2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
